"decada","nome","total_ocorrencias"
"Decada de 1950","James","845821"
"Decada de 1950","Michael","839312"
"Decada de 1950","Robert","832110"
"Decada de 1970","Michael","712793"
"Decada de 1970","Jennifer","583688"
"Decada de 1970","Christopher","478445"
"Decada de 2010","Sophia","104441"
"Decada de 2010","Emma","98776"
"Decada de 2010","Isabella","96445"
"Decada de 1960","Michael","837068"
"Decada de 1960","David","736709"
"Decada de 1960","John","716364"
"Decada de 1980","Michael","668724"
"Decada de 1980","Christopher","558407"
"Decada de 1980","Jessica","471446"
"Decada de 1990","Michael","464210"
"Decada de 1990","Christopher","361223"
"Decada de 1990","Matthew","352315"
"Decada de 2000","Jacob","274165"
"Decada de 2000","Michael","251189"
"Decada de 2000","Joshua","232246"
